Date,Unit,Minimum,Maximum,Average,Market
2015-08-28,Kg,55,60,57.5,Tomato
2014-05-05,Kg,18,24,21.0,Tomato
2017-07-18,Kg,35,40,37.5,Tomato
2013-11-15,Kg,54,60,57.0,Tomato
2018-07-17,Kg,20,25,22.5,Tomato
2014-06-11,Kg,26,32,29.0,Tomato
2015-05-16,Kg,30,36,33.0,Tomato
2015-02-01,Kg,14,18,16.0,Tomato
2015-12-03,Kg,50,60,55.0,Tomato
2016-11-23,Kg,30,40,35.0,Tomato
2018-09-20,Kg,45,50,47.5,Tomato
2013-09-02,Kg,35,40,37.5,Tomato
2015-03-12,Kg,30,36,33.0,Tomato
2018-06-04,Kg,35,40,37.5,Tomato
2016-06-28,Kg,60,70,65.0,Tomato
2013-09-23,Kg,30,35,32.5,Tomato
2014-11-23,Kg,20,26,23.0,Tomato
2014-09-10,Kg,22,26,24.0,Tomato
2017-06-06,Kg,55,60,57.5,Tomato
2017-10-12,Kg,55,60,57.5,Tomato
2016-06-26,Kg,50,60,55.0,Tomato
2019-08-20,Kg,90,95,92.5,Tomato
2015-05-03,Kg,12,15,13.5,Tomato
2020-05-10,Kg,30,35,32.5,Tomato
2015-07-04,Kg,30,42,36.0,Tomato
2019-10-16,Kg,38,45,41.5,Tomato
2019-04-21,Kg,40,45,42.5,Tomato
2021-01-17,Kg,15,20,17.5,Tomato
2013-08-30,Kg,30,35,32.5,Tomato
2014-03-10,Kg,40,45,42.5,Tomato
2020-02-03,Kg,15,20,17.5,Tomato
2017-03-26,Kg,25,30,27.5,Tomato
2020-05-04,Kg,25,30,27.5,Tomato
2020-11-13,Kg,40,45,42.5,Tomato
2017-02-23,Kg,15,20,17.5,Tomato
2018-09-04,Kg,40,45,42.5,Tomato
2019-10-14,Kg,30,35,32.5,Tomato
2015-04-01,Kg,28,30,29.0,Tomato
2016-08-03,Kg,70,75,72.5,Tomato
2014-04-22,Kg,35,40,37.5,Tomato
2016-11-15,Kg,30,40,35.0,Tomato
2016-11-17,Kg,25,35,30.0,Tomato
2018-05-06,Kg,20,25,22.5,Tomato
2019-05-27,Kg,55,65,60.0,Tomato
2018-07-07,Kg,20,25,22.5,Tomato
2019-12-08,Kg,40,45,42.5,Tomato
2015-12-01,Kg,50,60,55.0,Tomato
2015-06-16,Kg,30,36,33.0,Tomato
2021-01-20,Kg,12,18,15.0,Tomato
2017-03-17,Kg,25,30,27.5,Tomato
2019-12-13,Kg,38,45,41.5,Tomato
2015-07-21,Kg,60,70,65.0,Tomato
2019-07-15,Kg,65,70,67.5,Tomato
2018-11-27,Kg,16,22,19.0,Tomato
2014-07-11,Kg,12,16,14.0,Tomato
2020-01-10,Kg,25,35,30.0,Tomato
2014-08-25,Kg,52,56,54.0,Tomato
2017-04-13,Kg,24,30,27.0,Tomato
2015-10-07,Kg,20,25,22.5,Tomato
2021-01-08,Kg,25,35,30.0,Tomato
2018-12-06,Kg,12,20,16.0,Tomato
2020-11-08,Kg,35,40,37.5,Tomato
2014-07-26,Kg,35,40,37.5,Tomato
2015-04-15,Kg,30,35,32.5,Tomato
2018-01-09,Kg,30,35,32.5,Tomato
2015-04-10,Kg,40,45,42.5,Tomato
